code,name
2167,Lebanon Mixed (n=97)
1932,Lebanon Niha el Shouff (n=61)
2468,Lebanon pop 2 (n=191)
1933,Lebanon Yuhmur (n=82)
2522,Liberia Bong County (n=110)
3157,Libya Cyrenaica (n=118)
3442,Macedonia (n=286)
3612,Macedonia MBMDR - Albanian (n=128)
3613,Macedonia MBMDR - Macedonian (n=1283)
3611,Macedonia MBMDR - Macedonian Muslims (n=76)
1495,Macedonia pop 1 (n=158)
1353,Macedonia pop 2 (n=80)
1603,Macedonia pop 3 (n=172)
1735,Macedonia pop 4 (n=216)
2509,Macedonia pop 5 (n=103)
1289,Madeira (n=185)
2635,Madeira pop 2 (n=173)
2731,Madeira pop 3 (n=538)
1940,Malaysia (n=74)
3424,Malaysia Champa (n=29)
2737,Malaysia Jelebu Temuan (n=25)
2735,Malaysia Kedah Baling Kensiu (n=25)
3350,Malaysia Kedah Kensiu (n=21)
3438,Malaysia Kelantan (n=28)
3439,Malaysia Mandailing (n=27)
2682,Malaysia Negeri Sembilan Minangkabau (n=34)
3351,Malaysia Pahang Semai (n=38)
3437,Malaysia Patani (n=25)
3652,Malaysia Peninsular Chinese (n=194)
3674,Malaysia Peninsular Indian (n=271)
3323,Malaysia Peninsular Malay (n=951)
2680,Malaysia Perak and Johor Banjar Bugis Jawa (n=94)
2736,Malaysia Perak Grik Jehai (n=25)
2685,Malaysia Perak Rawa (n=23)
2359,Malaysia pop 2 (n=62)
2380,Malaysia pop 3 (n=1445)
3171,Malaysia Sabah Dusun (n=48)
2742,Malaysia Sabah Kadazan (n=57)
2738,Malaysia Sarawak Bau Bidayuh (n=25)
2741,Malaysia Sarawak Bidayuh (n=50)
2740,Malaysia Sarawak Iban (n=51)
1486,Mali Bandiagara (n=138)
2510,Martinique (n=100)
3493,Mexico Aguascalientes state (n=95)
3527,Mexico Baja Californa, Mexicali (n=100)
3571,Mexico Baja California Rural (n=50)
3526,Mexico Baja California, La Paz (n=75)
3615,Mexico Baja California, Tijuana (n=25)
3596,Mexico Campeche Rural (n=47)
3458,Mexico Campeche, Campeche city (n=34)
3666,Mexico Chiapas Lacandon Mayans (n=218)
3595,Mexico Chiapas Rural (n=121)
3460,Mexico Chiapas, Tuxtla Gutierrez (n=52)
